city,latitude,longitude,event_count
Mumbai,19.0748,72.8856,381348
Bengaluru,12.9753,77.591,296712
Pune,18.5211,73.8502,265947
Hyderabad,17.3843,78.4583,171796
New Delhi,28.6327,77.2198,111339
Chennai,13.0895,80.2739,93082
Kolkata,22.5643,88.3693,75522
Ahmedabad,23.0276,72.5871,67248
Surat,21.1981,72.8298,45881
Delhi,28.6542,77.2373,39204
Jaipur,26.9136,75.7858,32886
Nagpur,21.1463,79.0849,32502
Lucknow,26.8373,80.9165,28691
Thāne,19.1963,72.9675,24524
Kochi,9.9406,76.2653,24157
Chandigarh,30.7339,76.7889,23810
Noida,28.5759,77.3345,23660
Coimbatore,11.0102,76.9701,22835
Indore,22.717,75.8337,19619
Vadodara,22.3008,73.2043,18421
Nashik,20.0024,73.7945,17694
Bhubaneswar,20.2706,85.8334,17694
Bhopal,23.2505,77.4065,16137
Ludhiana,30.9146,75.8543,15655
Gurugram,28.4597,77.0282,15083
Patna,25.5943,85.1352,13724
Dehradun,30.3275,78.0325,11367
Guwahati,26.1885,91.7392,11186
Ranchi,23.3426,85.3099,10256
Faridabad,28.4098,77.31,10187
Thiruvananthapuram,8.4832,76.9458,9493
Thrissur,10.516,76.2157,9438
Mangalore,12.9187,74.8598,9137
Raipur,21.2333,81.6333,9064
Mumbai,19.0336,73.0118,8846
Rajkot,22.2904,70.7915,8824
Vijayawada,16.5033,80.6465,7801
Medinīpur,22.4187,87.322,6918
Ghaziabad,28.6677,77.4337,6876
Jamnagar,22.4667,70.0644,6625
Amritsar,31.6203,74.8765,6315
Kanpur,26.4631,80.3479,5984
Ambāla,30.3588,76.8029,5871
Jalgaon,21.0009,75.5735,5580
Kolhāpur,16.6956,74.2317,5245
Kannur,11.8653,75.352,5022
Visakhapatnam,17.6774,83.2036,4380
Kottayam,9.5813,76.5263,4379
Chandīgarh,30.7339,76.7889,4245
Sambalpur,21.4668,83.9764,4182
Agra,27.1823,78.0252,4161
Jodhpur,26.2692,73.009,4014
Shillong,25.5679,91.8787,3973
Salem,11.6602,78.1532,3832
Jammu,32.7363,74.8651,3694
Mysore,12.2989,76.6394,3689
Jamshedpur,22.8006,86.1871,3537
Kozhikode,11.2448,75.7721,3531
Aurangabad,19.8776,75.3423,3330
Valsād,20.6063,72.9356,3253
Kalyān,19.2463,73.1315,3049
Kollam,8.8814,76.585,3040
Madurai,9.919,78.1195,2957
Chikmagalūr,13.3189,75.7815,2913
Erode,11.3458,77.7334,2872
Panjim,15.5016,73.8234,2662
Badlapur,19.1573,73.2631,2573
Udupi,13.3318,74.7454,2460
Dombivali,19.2185,73.0741,2277
Solapur,17.6735,75.9051,2251
Malappuram,11.0341,76.0769,2205
Mormugao,15.3911,73.8204,2199
Basti,26.7836,82.7133,2040
Ajmer,26.4529,74.6432,1801
Rudrapur,28.9742,79.4034,1795
Jalandhar,31.33,75.5844,1720
Tiruchirappalli,10.81,78.6932,1576
Puducherry,11.9327,79.8339,1460
Asansol,23.6833,86.9833,1431
Siliguri,26.7084,88.4318,1384
Meerut,28.9834,77.706,1336
Gandhinagar,23.2167,72.6833,1294
Bathinda,30.206,74.9302,1246
Guntur,16.3007,80.4639,1183
Ulhasnagar,19.217,73.1483,1149
Shimla,31.1034,77.1659,1041
Vellore,12.9202,79.1306,1031
Mohali,30.674,76.7249,1003
Bharūch,21.7003,72.9782,996
Ambajogai,18.7387,76.3842,992
Hamīrpur,31.6866,76.5218,971
Pimpri-Chinchwad,18.6171,73.7966,944
Karur,10.9536,78.0812,896
Nellore,14.4484,79.9888,858
Tumsar,21.3872,79.7344,854
Wai,17.9512,73.8923,851
Hisar,29.1501,75.7176,849
Mahendragarh,28.272,76.1555,847
Shimoga,13.9327,75.5757,837
Gwalior,26.2331,78.1692,792
Pathanāmthitta,9.2612,76.7833,788
Kaithal,29.8015,76.4,776
Belgaum,15.8576,74.5011,767
Bhiwandi,19.3121,73.0607,766
Dharmapuri,12.123,78.1624,765
Tumkūr,13.3492,77.1035,753
Kurukshetra,29.9666,76.8358,751
Panvel,18.9894,73.1074,749
Boisar,19.8014,72.7558,748
Rohtak,28.8964,76.5909,727
Kota,25.1843,75.8353,685
Tirupati,13.6409,79.4192,685
Hubli,15.3439,75.133,656
Jabalpur,23.1701,79.957,631
Palakkad,10.7739,76.6487,621
Virār,19.46,72.8097,613
Varanasi,25.315,83.0058,613
Kāsaragod,12.4942,74.9829,598
Tīrthahalli,13.6845,75.2464,565
Alappuzha,9.4897,76.3223,564
Wardha,20.7405,78.6062,550
Anand,22.5504,72.9515,531
Udaipur,24.5854,73.7141,525
Roha,18.4405,73.1213,524
Kākināda,16.9616,82.2326,485
Bārāmati,18.1534,74.5755,482
Mandi,31.7126,76.9328,480
Kurnool,15.8237,78.0392,469
Manipal,13.3512,74.78,467
Kālva,19.1961,73.0003,459
Patiāla,30.3388,76.3906,447
Tirupur,11.1067,77.3545,440
Durgapur,23.5159,87.307,439
Bhuj,23.2534,69.6657,433
Zerakpur,30.6566,76.8255,424
Warangal,17.9958,79.5782,422
Ponda,15.4032,74.0185,417
Vasai,19.3607,72.7956,401
Panipat,29.3885,76.9669,392
Silvassa,20.2699,72.9965,388
Sangrur,30.2446,75.848,377
Mira Road,19.2836,72.8675,364
Navsari,20.9468,72.9257,364
Prayagraj,25.4425,81.8517,362
Tripura,24.0013,92.0028,359
Kadapa,14.4804,78.8317,356
Old Goa,15.4471,73.8881,355
Baloda,22.1423,82.4795,351
Kharghar,19.0521,73.0638,347
Bhavnagar,21.764,72.1505,340
Gangtok,27.3222,88.6144,340
Coonoor,11.3455,76.7827,333
Paravāda,17.6288,83.0757,327
Kopargaon,19.8766,74.4801,324
Panchkula,30.6954,76.8524,323
Gadhinglaj,16.2208,74.3584,318
Yavatmal,20.3944,78.1291,315
Sonīpat,28.9933,77.021,304
Davangere,14.4611,75.9245,301
Aizawl,23.7285,92.7188,300
Tirunelveli,8.7272,77.687,297
Azamgarh,26.0682,83.1886,297
Srīnivāspur,13.3375,78.2185,284
Alibag,18.6444,72.8819,278
Bhimavaram,16.5518,81.5243,274
Anaparthy,16.9338,81.9579,270
Kāraikāl,10.9137,79.8307,268
Chimbel,15.49,73.865,267
Ashta,16.9596,74.4174,265
Sri Ganganagar,29.9192,73.8741,262
Thoothukudi,8.7639,78.1322,259
Bānkura,23.2361,87.0703,259
Ankleshwar,21.6362,72.9891,258
Nagercoil,8.1832,77.4277,252
Rajahmundry,17.0129,81.7793,249
Shāhāda,21.5494,74.4663,247
Muvattupuzha,9.9834,76.5718,247
Gaya,24.7935,85.012,246
Chittoor,13.2057,79.0994,242
Mardol,15.4367,73.971,241
Karnāl,29.6923,76.986,236
Mādhoganj,27.1219,80.1401,231
Hoshiārpur,31.5404,75.9135,229
Navelim,15.2563,73.9645,224
Ashoknagar,24.5741,77.7334,224
Bhiwāni,28.793,76.1397,223
Rānāghāt,23.1806,88.5642,222
Kalady,10.1666,76.446,221
NandiniLayout,13.0134,77.5356,219
Mancherial,18.8695,79.434,217
Nadiād,22.6909,72.8646,215
Shāhāpur,19.4503,73.3235,210
Srinagar,34.085,74.806,207
Umreth,22.6955,73.1109,202
Jāmner,20.8118,75.777,202
Perumanal,11.0709,77.393,201
Kohima,25.6681,94.1157,198
Dewas,22.9644,76.0473,196
Muzaffarnagar,29.4742,77.7027,192
Ratnagiri,16.9881,73.3033,192
Yamuna Nagar,30.1295,77.2838,191
Damoh,23.8342,79.4429,191
Dabolim,15.4023,73.8572,191
Manimala,9.4824,76.7464,189
Kayamkulam,9.1814,76.502,188
Karjat,18.9085,73.3248,185
Ratlām,23.3279,75.0481,185
Kulanada,9.25,76.6741,184
Port Blair,11.6687,92.7494,184
Airoli,19.1518,72.9958,177
Haddo,11.6833,92.7167,177
Wayanad,11.6032,76.0793,177
Khammam,17.2531,80.1421,176
Pālghar,19.6989,72.7631,171
Itanagar,27.0802,93.6115,171
Ongole,15.508,80.0389,167
Rewāri,28.193,76.6124,165
Dhūri,30.3659,75.8657,164
Haryāna,29.6173,76.9775,163
Cuttack,20.4636,85.8783,161
Ottapalam,10.7686,76.3782,160
Malda,24.9998,88.1539,160
Chitradurga,14.2204,76.3978,160
Fīrozābād,28.7074,77.8266,156
Baharampur,24.1024,88.2508,156
Thodupuzha,9.8933,76.717,155
Akurdi,18.6564,73.7842,155
Mundakāyam,9.5355,76.8861,154
Barbil,22.107,85.3755,148
Ahilyanagar,21.173,78.5652,147
Balasore,21.4938,86.9383,147
Imphal,24.809,93.9407,147
Pattāmbi,10.7988,76.1835,146
Sheohar,26.513,85.2975,145
Curchorem,15.2672,74.1084,142
Gurdaspur,32.0393,75.4032,141
Dhār,22.6008,75.2969,140
Anantapur,14.6769,77.6124,137
Kalpatta,11.6032,76.0793,134
Kalaburagi,17.3359,76.8341,133
Agartala,23.8354,91.2818,133
Kunnamthanam,9.4323,76.6141,133
Vythiri,11.5493,76.0357,132
Sangli,16.8564,74.5571,132
Arāria,26.1519,87.5162,132
Beed,18.9848,75.7578,132
Kottagūdem,17.5447,80.6171,130
Korba,22.3403,82.6928,129
Bhagalpur,25.253,86.9683,129
Ujjain,23.1793,75.7684,129
Sibsāgar,26.9936,94.6327,128
Sivakasi,9.4463,77.795,128
Sirsa,29.5386,75.0272,127
Vapi,20.3736,72.9014,125
Pedana,16.259,81.1421,124
Sīkar,27.6121,75.14,124
Muzaffarpur,26.1192,85.3963,124
Gorakhpur,26.7631,83.3729,124
Silchar,24.8273,92.7975,123
Khargone,21.82,75.6157,123
