city,latitude,longitude,event_count
Mumbai,19.0748,72.8856,15508
Bengaluru,12.9753,77.591,13096
Pune,18.5211,73.8502,11947
Hyderabad,17.3843,78.4583,8455
New Delhi,28.6327,77.2198,4314
Chennai,13.0895,80.2739,3999
Kolkata,22.5643,88.3693,3384
Ahmedabad,23.0276,72.5871,3231
Surat,21.1981,72.8298,2283
Delhi,28.6542,77.2373,1468
Nagpur,21.1463,79.0849,1459
Jaipur,26.9136,75.7858,1403
Kochi,9.9406,76.2653,1284
Lucknow,26.8373,80.9165,1188
Coimbatore,11.0102,76.9701,1169
Thāne,19.1963,72.9675,1154
Chandigarh,30.7339,76.7889,1114
Bhubaneswar,20.2706,85.8334,999
Noida,28.5759,77.3345,875
Vadodara,22.3008,73.2043,828
Indore,22.717,75.8337,825
Nashik,20.0024,73.7945,803
Patna,25.5943,85.1352,718
Bhopal,23.2505,77.4065,680
Ludhiana,30.9146,75.8543,675
Guwahati,26.1885,91.7392,596
Gurugram,28.4597,77.0282,569
Mangalore,12.9187,74.8598,545
Thiruvananthapuram,8.4832,76.9458,539
Dehradun,30.3275,78.0325,518
Thrissur,10.516,76.2157,493
Ranchi,23.3426,85.3099,491
Vijayawada,16.5033,80.6465,401
Raipur,21.2333,81.6333,379
Rajkot,22.2904,70.7915,376
Faridabad,28.4098,77.31,365
Mumbai,19.0336,73.0118,356
Medinīpur,22.4187,87.322,342
Jamnagar,22.4667,70.0644,306
Amritsar,31.6203,74.8765,292
Ghaziabad,28.6677,77.4337,280
Ambāla,30.3588,76.8029,278
Kannur,11.8653,75.352,273
Kolhāpur,16.6956,74.2317,259
Visakhapatnam,17.6774,83.2036,243
Sambalpur,21.4668,83.9764,242
Kanpur,26.4631,80.3479,236
Jalgaon,21.0009,75.5735,227
Kozhikode,11.2448,75.7721,208
Kottayam,9.5813,76.5263,205
Agra,27.1823,78.0252,203
Chandīgarh,30.7339,76.7889,202
Mysore,12.2989,76.6394,194
Shillong,25.5679,91.8787,192
Salem,11.6602,78.1532,184
Jodhpur,26.2692,73.009,178
Udupi,13.3318,74.7454,171
Jammu,32.7363,74.8651,163
Aurangabad,19.8776,75.3423,161
Jamshedpur,22.8006,86.1871,157
Kollam,8.8814,76.585,152
Panjim,15.5016,73.8234,142
Erode,11.3458,77.7334,140
Chikmagalūr,13.3189,75.7815,137
Kalyān,19.2463,73.1315,134
Malappuram,11.0341,76.0769,133
Badlapur,19.1573,73.2631,130
Madurai,9.919,78.1195,122
Valsād,20.6063,72.9356,117
Solapur,17.6735,75.9051,110
Mormugao,15.3911,73.8204,108
Basti,26.7836,82.7133,95
Dombivali,19.2185,73.0741,89
Jalandhar,31.33,75.5844,87
Rudrapur,28.9742,79.4034,84
Puducherry,11.9327,79.8339,81
Ajmer,26.4529,74.6432,74
Guntur,16.3007,80.4639,70
Siliguri,26.7084,88.4318,68
Bathinda,30.206,74.9302,62
Asansol,23.6833,86.9833,62
Tiruchirappalli,10.81,78.6932,60
Meerut,28.9834,77.706,60
Hubli,15.3439,75.133,52
Pathanāmthitta,9.2612,76.7833,51
Vellore,12.9202,79.1306,50
Tumsar,21.3872,79.7344,50
Gandhinagar,23.2167,72.6833,48
Mohali,30.674,76.7249,46
Nellore,14.4484,79.9888,46
Ambajogai,18.7387,76.3842,46
Ulhasnagar,19.217,73.1483,46
Hamīrpur,31.6866,76.5218,46
Kota,25.1843,75.8353,45
Tumkūr,13.3492,77.1035,44
Wai,17.9512,73.8923,44
Mahendragarh,28.272,76.1555,43
Shimla,31.1034,77.1659,41
Dharmapuri,12.123,78.1624,40
Belgaum,15.8576,74.5011,39
Pimpri-Chinchwad,18.6171,73.7966,39
Shimoga,13.9327,75.5757,38
Palakkad,10.7739,76.6487,38
Bharūch,21.7003,72.9782,37
Hisar,29.1501,75.7176,37
Rohtak,28.8964,76.5909,37
Kurukshetra,29.9666,76.8358,35
Boisar,19.8014,72.7558,35
Kaithal,29.8015,76.4,34
Warangal,17.9958,79.5782,34
Karur,10.9536,78.0812,33
Kāsaragod,12.4942,74.9829,33
Jabalpur,23.1701,79.957,33
Wardha,20.7405,78.6062,31
Manipal,13.3512,74.78,29
Bhiwandi,19.3121,73.0607,28
Kākināda,16.9616,82.2326,28
Kurnool,15.8237,78.0392,28
Tirupur,11.1067,77.3545,28
Silvassa,20.2699,72.9965,27
Varanasi,25.315,83.0058,26
Kadapa,14.4804,78.8317,26
Tirupati,13.6409,79.4192,25
Roha,18.4405,73.1213,25
Udaipur,24.5854,73.7141,25
Anand,22.5504,72.9515,24
Old Goa,15.4471,73.8881,24
Tripura,24.0013,92.0028,24
Virār,19.46,72.8097,23
Navelim,15.2563,73.9645,22
Mandi,31.7126,76.9328,22
Alappuzha,9.4897,76.3223,22
Itanagar,27.0802,93.6115,22
Gwalior,26.2331,78.1692,22
Panvel,18.9894,73.1074,22
Nagercoil,8.1832,77.4277,21
Durgapur,23.5159,87.307,21
Sonīpat,28.9933,77.021,20
Baloda,22.1423,82.4795,20
Tīrthahalli,13.6845,75.2464,20
Srīnivāspur,13.3375,78.2185,20
Zerakpur,30.6566,76.8255,20
NandiniLayout,13.0134,77.5356,19
Patiāla,30.3388,76.3906,19
Navsari,20.9468,72.9257,18
Bhuj,23.2534,69.6657,18
Ponda,15.4032,74.0185,18
Bhimavaram,16.5518,81.5243,17
Coonoor,11.3455,76.7827,17
Vasai,19.3607,72.7956,17
Jāmner,20.8118,75.777,17
Azamgarh,26.0682,83.1886,17
Chimbel,15.49,73.865,16
Yavatmal,20.3944,78.1291,16
Paravāda,17.6288,83.0757,16
Sangrur,30.2446,75.848,16
Bhavnagar,21.764,72.1505,16
Gaya,24.7935,85.012,16
Ashta,16.9596,74.4174,16
Prayagraj,25.4425,81.8517,16
Kopargaon,19.8766,74.4801,15
Aizawl,23.7285,92.7188,15
Rānāghāt,23.1806,88.5642,15
Rajahmundry,17.0129,81.7793,15
Chittoor,13.2057,79.0994,15
Panipat,29.3885,76.9669,15
Muvattupuzha,9.9834,76.5718,14
Gangtok,27.3222,88.6144,14
Chitradurga,14.2204,76.3978,14
Panchkula,30.6954,76.8524,14
Davangere,14.4611,75.9245,14
Bhiwāni,28.793,76.1397,13
Suriāpet,17.1454,79.6154,13
Bārāmati,18.1534,74.5755,13
Port Blair,11.6687,92.7494,13
Gadhinglaj,16.2208,74.3584,13
Haryāna,29.6173,76.9775,13
Tirunelveli,8.7272,77.687,13
Kālva,19.1961,73.0003,13
Thodupuzha,9.8933,76.717,13
Pālghar,19.6989,72.7631,12
Mira Road,19.2836,72.8675,12
Tālīkota,16.4686,76.3089,12
Nadiād,22.6909,72.8646,12
Pattāmbi,10.7988,76.1835,11
Prothrapur,11.618,92.7244,11
Bānkura,23.2361,87.0703,11
Kāraikāl,10.9137,79.8307,11
Wayanad,11.6032,76.0793,11
Dharmapuri,18.0876,83.4124,11
Thoothukudi,8.7639,78.1322,11
Ratnagiri,16.9881,73.3033,11
Dabolim,15.4023,73.8572,11
Ongole,15.508,80.0389,11
Hoshiārpur,31.5404,75.9135,11
Mardol,15.4367,73.971,11
Haddo,11.6833,92.7167,11
Murbād,19.249,73.3904,10
Karnāl,29.6923,76.986,10
Ankleshwar,21.6362,72.9891,10
Cuttack,20.4636,85.8783,9
Umreth,22.6955,73.1109,9
Perumanal,11.0709,77.393,9
Alibag,18.6444,72.8819,9
Sheohar,26.513,85.2975,9
Bhatkal,13.9824,74.5523,9
Dewas,22.9644,76.0473,9
Akurdi,18.6564,73.7842,9
Silchar,24.8273,92.7975,9
Sangamner,19.5642,74.2082,9
Sangli,16.8564,74.5571,9
Aligarh,27.8796,78.0762,9
Imphal,24.809,93.9407,9
Phagwāra,31.2281,75.7787,8
Yamuna Nagar,30.1295,77.2838,8
Pudukkottai,10.3843,78.8209,8
Shāhāda,21.5494,74.4663,8
Vythiri,11.5493,76.0357,8
Shāhāpur,19.4503,73.3235,8
Manimala,9.4824,76.7464,8
Solan,30.9085,77.1022,8
Sri Ganganagar,29.9192,73.8741,8
Mundakāyam,9.5355,76.8861,8
Nandyāl,15.478,78.4836,8
Kohima,25.6681,94.1157,8
Agartala,23.8354,91.2818,8
Kharghar,19.0521,73.0638,8
Ashoknagar,24.5741,77.7334,8
Curchorem,15.2672,74.1084,8
Khammam,17.2531,80.1421,8
Dharamsala,32.2146,76.3137,8
Kadayanallur,9.0758,77.3479,7
Baharampur,24.1024,88.2508,7
Deesa,24.2597,72.1855,7
Kalady,10.1666,76.446,7
Kalaburagi,17.3359,76.8341,7
Lātehār,23.7427,84.491,7
Ujjain,23.1793,75.7684,7
Malda,24.9998,88.1539,7
Barbil,22.107,85.3755,7
Hanamkonda,18.018,79.57,7
Vapi,20.3736,72.9014,7
Beed,18.9848,75.7578,7
Beltangadi,13.9812,75.2973,7
Ottapalam,10.7686,76.3782,7
Gāndhīdhām,23.0803,70.1341,7
Muzaffarnagar,29.4742,77.7027,7
Chīrāla,15.8202,80.3589,7
Sibsāgar,26.9936,94.6327,7
Kanchipuram,12.8378,79.6973,7
Gurdaspur,32.0393,75.4032,7
Kottagūdem,17.5447,80.6171,7
Kunnamthanam,9.4323,76.6141,7
Amravati,20.927,77.7476,7
Chengalpattu,12.6936,79.9834,7
Kuzhithurai,8.3165,77.1882,6
Srinagar,34.085,74.806,6
Kim,21.4008,72.9268,6
Surendranagar,22.7168,71.6502,6
Sīkar,27.6121,75.14,6
Mayiladuthurai,11.1063,79.655,6
Roorkee,29.8637,77.8835,6
Eraniel,8.2092,77.3164,6
Farīdkot,30.6718,74.7648,6
Bijnor,29.3755,78.1319,6
Howrah,22.574,88.3191,6
Mancherial,18.8695,79.434,6
Moga,30.8196,75.1703,6
Anaparthy,16.9338,81.9579,6
Anchal,8.9287,76.9163,6
